iter	Passed	Remaining
0	100	100575
1	101	50552
2	101	33837
3	102	25472
4	102	20460
5	103	17114
6	103	14727
7	104	12942
8	104	11545
9	105	10429
10	105	9515
11	106	8755
12	106	8109
13	107	7558
14	107	7081
15	108	6663
16	108	6295
17	109	5967
18	109	5675
19	110	5411
20	110	5172
21	111	4954
22	111	4756
23	112	4575
24	113	4411
25	113	4262
26	114	4123
27	115	3995
28	115	3874
29	116	3763
30	117	3658
31	117	3559
32	118	3466
33	118	3378
34	119	3295
35	120	3215
36	120	3139
37	121	3070
38	121	3005
39	122	2941
40	123	2880
41	123	2822
42	124	2765
43	124	2711
44	125	2660
45	125	2611
46	126	2568
47	127	2527
48	127	2484
49	128	2442
50	129	2402
51	129	2365
52	130	2327
53	130	2291
54	131	2256
55	131	2224
56	132	2194
57	133	2165
58	133	2134
59	134	2105
60	134	2076
61	135	2050
62	136	2023
63	136	1997
64	137	1974
65	138	1952
66	138	1930
67	138	1904
68	139	1882
69	140	1860
70	140	1841
71	141	1821
72	141	1801
73	142	1784
74	143	1770
75	144	1753
76	144	1736
77	145	1719
78	146	1703
79	146	1687
80	147	1671
81	148	1656
82	148	1642
83	149	1630
84	149	1614
85	150	1599
86	150	1583
87	151	1570
88	152	1556
89	152	1543
90	153	1531
91	153	1519
92	154	1506
93	155	1495
94	155	1483
95	156	1471
96	157	1461
97	157	1452
98	158	1442
99	159	1432
100	159	1422
101	160	1411
102	160	1401
103	161	1391
104	162	1381
105	162	1370
106	163	1361
107	163	1351
108	164	1342
109	164	1333
110	165	1324
111	166	1316
112	166	1308
113	167	1299
114	167	1291
115	168	1282
116	168	1274
117	169	1266
118	169	1258
119	170	1251
120	171	1244
121	171	1237
122	172	1228
123	172	1221
124	173	1214
125	174	1208
126	174	1201
127	175	1193
128	176	1189
129	176	1183
130	177	1177
131	178	1171
132	178	1165
133	179	1159
134	180	1153
135	180	1147
136	181	1141
137	181	1135
138	182	1130
139	183	1124
140	183	1119
141	184	1114
142	184	1108
143	185	1102
144	185	1096
145	186	1092
146	187	1087
147	188	1082
148	188	1077
149	189	1072
150	189	1067
151	190	1061
152	190	1056
153	191	1051
154	192	1046
155	192	1042
156	193	1037
157	193	1032
158	194	1028
159	194	1023
160	195	1018
161	196	1014
162	196	1009
163	197	1004
164	197	1000
165	198	996
166	198	992
167	199	988
168	200	983
169	200	979
170	201	975
171	201	970
172	202	966
173	202	962
174	203	958
175	204	956
176	204	952
177	205	948
178	206	944
179	206	941
180	206	936
181	207	931
182	207	928
183	208	924
184	209	920
185	209	917
186	210	914
187	210	911
188	211	907
189	212	903
190	212	900
191	213	896
192	213	892
193	214	889
194	214	886
195	215	884
196	216	880
197	216	877
198	217	874
199	217	870
200	218	867
201	218	864
202	219	860
203	219	858
204	220	855
205	221	852
206	221	849
207	222	846
208	222	843
209	223	840
210	223	837
211	224	834
212	225	831
213	225	829
214	226	826
215	227	824
216	227	821
217	228	818
218	228	815
219	229	812
220	229	809
221	230	807
222	231	805
223	231	803
224	232	800
225	233	797
226	233	795
227	234	792
228	234	789
229	235	787
230	235	784
231	236	782
232	236	779
233	237	777
234	238	774
235	238	772
236	239	769
237	239	767
238	240	764
239	240	762
240	241	759
241	241	757
242	242	755
243	243	753
244	243	751
245	244	748
246	244	746
247	245	743
248	245	741
249	246	739
250	247	737
251	247	735
252	248	734
253	249	731
254	249	729
255	250	727
256	250	725
257	251	723
258	252	721
259	252	719
260	253	717
261	254	715
262	254	713
263	255	711
264	255	709
265	256	707
266	256	705
267	257	703
268	257	700
269	258	699
270	259	698
271	260	696
272	260	693
273	261	692
274	261	690
275	262	688
276	262	686
277	263	684
278	264	682
279	264	680
280	265	678
281	265	676
282	266	675
283	267	673
284	267	671
285	268	669
286	268	667
287	269	666
288	270	664
289	270	663
290	271	661
291	271	659
292	272	657
293	273	655
294	273	653
295	274	651
296	274	649
297	275	648
298	276	647
299	276	645
300	277	643
301	277	642
302	278	640
303	279	639
304	279	637
305	280	635
306	281	634
307	281	632
308	282	631
309	282	629
310	283	628
311	284	626
312	284	624
313	285	622
314	285	621
315	286	619
316	286	618
317	287	616
318	288	614
319	288	613
320	289	611
321	289	609
322	290	608
323	290	606
324	291	604
325	291	603
326	292	602
327	293	601
328	293	599
329	294	597
330	295	596
331	295	594
332	296	593
333	296	591
334	297	590
335	298	589
336	298	587
337	299	586
338	299	584
339	300	583
340	300	581
341	301	580
342	301	578
343	302	577
344	303	575
345	304	574
346	304	573
347	305	572
348	305	570
349	306	569
350	306	567
351	307	566
352	308	564
353	308	563
354	309	562
355	310	560
356	310	559
357	311	558
358	311	556
359	312	555
360	312	553
361	313	552
362	314	551
363	314	549
364	315	548
365	315	547
366	316	545
367	316	544
368	317	542
369	317	541
370	318	540
371	319	539
372	320	538
373	320	536
374	321	535
375	322	534
376	322	533
377	323	531
378	323	530
379	324	529
380	325	528
381	325	526
382	326	525
383	326	524
384	327	523
385	328	521
386	328	520
387	329	519
388	329	518
389	330	517
390	331	515
391	331	514
392	332	513
393	333	512
394	333	510
395	334	509
396	334	508
397	335	507
398	336	506
399	336	505
400	337	503
401	337	502
402	338	501
403	339	500
404	339	499
405	340	497
406	340	496
407	341	495
408	342	494
409	342	493
410	343	492
411	343	490
412	344	489
413	345	488
414	345	487
415	346	486
416	346	485
417	347	483
418	348	482
419	348	481
420	349	480
421	349	479
422	350	478
423	351	476
424	351	475
425	352	474
426	353	473
427	353	472
428	354	471
429	354	470
430	355	469
431	355	467
432	356	466
433	356	465
434	357	464
435	358	463
436	358	462
437	359	461
438	360	460
439	360	459
440	361	457
441	361	456
442	362	455
443	362	454
444	363	453
445	364	452
446	364	450
447	365	449
448	365	448
449	366	447
450	366	446
451	367	445
452	367	443
453	368	442
454	368	441
455	369	440
456	370	439
457	370	438
458	371	437
459	371	436
460	372	435
461	372	434
462	373	432
463	374	432
464	375	431
465	375	430
466	376	429
467	376	428
468	377	427
469	377	426
470	378	425
471	379	423
472	379	422
473	380	421
474	380	420
475	381	419
476	381	418
477	382	417
478	382	416
479	383	415
480	383	414
481	384	413
482	385	412
483	385	411
484	386	410
485	387	409
486	387	408
487	388	407
488	388	406
489	389	404
490	389	403
491	390	403
492	391	402
493	392	401
494	392	400
495	393	399
496	393	398
497	394	397
498	394	396
499	395	395
500	396	394
501	396	393
502	397	392
503	398	391
504	398	390
505	399	389
506	399	388
507	400	387
508	400	386
509	401	385
510	402	384
511	402	383
512	403	382
513	403	381
514	404	381
515	405	380
516	405	379
517	406	378
518	407	377
519	408	376
520	408	375
521	409	374
522	409	373
523	410	372
524	410	371
525	411	370
526	411	369
527	412	368
528	413	368
529	414	367
530	414	366
531	415	365
532	415	364
533	416	363
534	416	362
535	417	361
536	417	360
537	418	359
538	419	358
539	419	357
540	420	356
541	420	355
542	421	354
543	422	353
544	422	352
545	423	351
546	423	350
547	424	350
548	425	349
549	425	348
550	426	347
551	426	346
552	427	345
553	427	344
554	428	343
555	429	342
556	429	341
557	430	340
558	430	339
559	431	338
560	431	338
561	432	337
562	433	336
563	433	335
564	434	334
565	434	333
566	435	332
567	436	331
568	436	330
569	437	329
570	437	329
571	438	328
572	439	327
573	439	326
574	440	325
575	440	324
576	441	323
577	441	322
578	442	321
579	443	320
580	443	319
581	444	319
582	444	318
583	445	317
584	445	316
585	446	315
586	447	314
587	447	313
588	448	312
589	448	311
590	449	311
591	449	310
592	450	309
593	451	308
594	451	307
595	452	306
596	453	305
597	453	304
598	454	304
599	454	303
600	455	302
601	455	301
602	456	300
603	456	299
604	457	298
605	458	297
606	458	297
607	459	296
608	459	295
609	460	294
